image_path,image_name,prompt,blip_caption,clip_similarity_prompt,clip_similarity_caption,similarity_diff
/content/images/part-000003/12a24462-4dac-43c1-a145-89a25c72d815.png,12a24462-4dac-43c1-a145-89a25c72d815.png,"a surreal * * cognitive illusion * * of the key of the universe, by oleg shupliak and jeffrey smith, oil on canvas, surrealism ",a painting of a man standing in front of a giant planet,28.71875,31.75,-3.03125
/content/images/part-000003/321da869-d2ce-49a0-b474-8c7650f5836a.png,321da869-d2ce-49a0-b474-8c7650f5836a.png,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, octane render fox scientist ",a futuristic room with a large red and blue light,35.6875,30.203125,5.484375
/content/images/part-000003/da698170-63cc-4ef9-81b7-44bd2bb51981.png,da698170-63cc-4ef9-81b7-44bd2bb51981.png,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, octane render, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting ",a futuristic city with lots of machinery and machinery,33.09375,27.265625,5.828125
/content/images/part-000003/aa221b88-e288-4373-8303-8dbaee77d793.png,aa221b88-e288-4373-8303-8dbaee77d793.png,"a surreal * * cognitive illusion * *, the key of the universe, by oleg shupliak and jeffrey smith, oil on canvas, afrofuturism!, surrealism, astrophotography ","the cover art for the album, ' the end of the world '",34.9375,25.765625,9.171875
/content/images/part-000003/1642d94e-89db-4cca-9f84-66d7bad4f196.png,1642d94e-89db-4cca-9f84-66d7bad4f196.png,"moon, vector! pop art, soft line, bright, colorful, clean, cutout ",a colorful painting with a circular design,29.703125,25.9375,3.765625
/content/images/part-000003/e2b680e3-a206-4b34-b8d3-0de45d9b7663.png,e2b680e3-a206-4b34-b8d3-0de45d9b7663.png,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, vulcan render ",a futuristic city with lots of machines and machinery,36.03125,26.875,9.15625
/content/images/part-000003/7fccb4de-15bc-4c56-b8b7-fe1a0682a947.png,7fccb4de-15bc-4c56-b8b7-fe1a0682a947.png,"a surreal * * cognitive illusion * *, the key of the universe, by oleg shupliak and jeffrey smith, oil on canvas, afrofuturism!, surrealism, astrophotography ",a poster of a robot with a large head,34.0,28.6875,5.3125
/content/images/part-000003/81c78853-a1c1-4300-bc1e-06415a1c8ea1.png,81c78853-a1c1-4300-bc1e-06415a1c8ea1.png,"portrait character design a young cute fluffy panda character, style of maple story and zootopia, 3 d animation demo reel, portrait studio lighting by jessica rossier and brian froud and gaston bussiere ",a bunch of pandas with different expressions,33.125,35.125,-2.0
/content/images/part-000003/38a842f3-f084-4c8a-b5ed-e3f4160890dc.png,38a842f3-f084-4c8a-b5ed-e3f4160890dc.png,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, vulcan render ",a futuristic city with lots of red and blue lights,34.78125,30.234375,4.546875
/content/images/part-000003/2d597acb-0319-455a-9180-e71897d00fed.png,2d597acb-0319-455a-9180-e71897d00fed.png,"photo cartoon illustration comic manga painting of super market environement : 6 fantasy environement, digital painting, volumetric lighting by feng zhu, 3 d alejandro alvarez alena aenami artworks in 4 k beeple, by thomas kinkade hearstone league of legends dofus overwatch ",a city with lots of neon lights and neon lights,35.5625,29.765625,5.796875
/content/images/part-000003/3f0795e5-6cae-47cb-9cfe-fc45af5a61d8.png,3f0795e5-6cae-47cb-9cfe-fc45af5a61d8.png,"christian bale as a 1 8 5 0 s sci - fi soldier eldrad, volumetric dark natural light, dark enlightenment, alchemy, albedo, oil on canvas, by zdzislaw beksinski, jack kirby, tom lovell, alex malveda, greg staples ",a man with a helmet and a beard,34.6875,27.078125,7.609375
/content/images/part-000003/2b8791cf-39d9-440e-b087-b828007656f7.png,2b8791cf-39d9-440e-b087-b828007656f7.png,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, vulcan render artstation artstation artstation artstation artstation artstation ",a room with a machine and a man working on it,35.53125,25.390625,10.140625
